Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
72, 23.73372459411621, 23.240703582763672 +/- 1.9168016910552979, 1.5463361740112305 +/- 0.18080346286296844, 6.124364376068115 +/- 0.39720430970191956, 1.224025845527649 +/- 0.0008546301396563649, 0.8804150819778442 +/- 0.020042816177010536, 15.597835540771484 +/- 0.024151170626282692, 1.0193114280700684
73, 21.835004806518555, 23.06671905517578 +/- 1.858704924583435, 1.5420129299163818 +/- 0.17129702866077423, 6.046753406524658 +/- 0.443634957075119, 1.2268187999725342 +/- 0.0007417986053042114, 0.8824374675750732 +/- 0.020559271797537804, 15.60328483581543 +/- 0.027943573892116547, 1.019559383392334
74, 21.901025772094727, 22.724105834960938 +/- 1.899695873260498, 1.5248280763626099 +/- 0.17450971901416779, 5.914255142211914 +/- 0.37903669476509094, 1.2295057773590088 +/- 0.0008310292032547295, 0.8833146095275879 +/- 0.01771445944905281, 15.581645011901855 +/- 0.020886188372969627, 1.0204715728759766
75, 28.59709358215332, 22.590124130249023 +/- 1.7113245725631714, 1.5176589488983154 +/- 0.1530209183692932, 5.888834476470947 +/- 0.45682084560394287, 1.2323697805404663 +/- 0.0007771305390633643, 0.8847771883010864 +/- 0.01885414309799671, 15.585363388061523 +/- 0.017396191135048866, 1.0183401107788086
76, 22.455520629882812, 22.675220489501953 +/- 2.0544612407684326, 1.522446632385254 +/- 0.17232640087604523, 5.997465133666992 +/- 0.7279590368270874, 1.2357772588729858 +/- 0.0008962057763710618, 0.8882815837860107 +/- 0.022780224680900574, 15.426666259765625 +/- 0.03829362615942955, 1.0177521705627441
77, 21.013914108276367, 22.119632720947266 +/- 1.7635499238967896, 1.4922586679458618 +/- 0.1603681892156601, 5.724578857421875 +/- 0.4808010756969452, 1.2387303113937378 +/- 0.0009246282861568034, 0.8869665861129761 +/- 0.02201111987233162, 15.442338943481445 +/- 0.021298713982105255, 1.0175752639770508
78, 20.757837295532227, 22.003141403198242 +/- 1.754947543144226, 1.4911677837371826 +/- 0.1556186079978943, 5.687315940856934 +/- 0.5269599556922913, 1.2418954372406006 +/- 0.001008175197057426, 0.8895581364631653 +/- 0.021275082603096962, 15.400036811828613 +/- 0.050773948431015015, 1.0173933506011963
79, 27.71259307861328, 21.583711624145508 +/- 1.8014942407608032, 1.4744784832000732 +/- 0.15828756988048553, 5.464129447937012 +/- 0.5314351916313171, 1.2446861267089844 +/- 0.0007964972173795104, 0.8904396295547485 +/- 0.020371392369270325, 15.396122932434082 +/- 0.02041914127767086, 1.0175652503967285
80, 20.130887985229492, 21.13186264038086 +/- 1.868976354598999, 1.4501553773880005 +/- 0.15659578144550323, 5.269782066345215 +/- 0.49825283885002136, 1.2481937408447266 +/- 0.001318068359978497, 0.8902848958969116 +/- 0.017710832878947258, 15.297396659851074 +/- 0.03336251154541969, 1.0186138153076172
81, 19.821508407592773, 20.871437072753906 +/- 1.6719310283660889, 1.4382532835006714 +/- 0.1410461962223053, 5.179703712463379 +/- 0.4845277667045593, 1.2515159845352173 +/- 0.0012124693021178246, 0.8925472497940063 +/- 0.01899493858218193, 15.27638053894043 +/- 0.04916374757885933, 1.0177538394927979
82, 19.612565994262695, 20.575611114501953 +/- 1.5582201480865479, 1.4275798797607422 +/- 0.1370653659105301, 5.061984539031982 +/- 0.46873539686203003, 1.2559280395507812 +/- 0.001761481980793178, 0.8953927755355835 +/- 0.018396401777863503, 15.179608345031738 +/- 0.030781114473938942, 1.0187506675720215
83, 19.45391273498535, 20.39413833618164 +/- 1.4840304851531982, 1.4220304489135742 +/- 0.1315825879573822, 4.988037109375 +/- 0.4191598892211914, 1.2610957622528076 +/- 0.0017395316390320659, 0.8977566957473755 +/- 0.020128440111875534, 15.097610473632812 +/- 0.05534452572464943, 1.0194854736328125
84, 18.92973518371582, 20.096397399902344 +/- 1.6901003122329712, 1.4029306173324585 +/- 0.13485310971736908, 4.900534629821777 +/- 0.6287376284599304, 1.2662562131881714 +/- 0.0012418479891493917, 0.8983033299446106 +/- 0.02041587606072426, 14.923989295959473 +/- 0.07033953070640564, 1.0197949409484863
85, 19.570104598999023, 19.503437042236328 +/- 1.3952171802520752, 1.3786507844924927 +/- 0.12152987718582153, 4.603160858154297 +/- 0.3402300477027893, 1.270618200302124 +/- 0.002106323605403304, 0.8997783660888672 +/- 0.01613543927669525, 14.925350189208984 +/- 0.022553151473402977, 1.0184376239776611
86, 18.346851348876953, 19.155887603759766 +/- 1.2402621507644653, 1.3581815958023071 +/- 0.10992838442325592, 4.477624416351318 +/- 0.35016772150993347, 1.2766218185424805 +/- 0.001574189169332385, 0.9005955457687378 +/- 0.01859794184565544, 14.824042320251465 +/- 0.02439556084573269, 1.0183804035186768
87, 19.069190979003906, 18.982694625854492 +/- 1.3166837692260742, 1.354907512664795 +/- 0.11092784255743027, 4.40059232711792 +/- 0.37144243717193604, 1.2798082828521729 +/- 0.0018647060496732593, 0.9035949110984802 +/- 0.018617767840623856, 14.778772354125977 +/- 0.048840317875146866, 1.017333984375
